Manufacturer,Model,Description,Price,Rating,no. of reviews,url
Lenovo,IdeaPad 3 14 Laptop Intel Core i31005G1 Processor 4GB DDR4 RAM 128GB M2 SSD Storage 140 FHD 1920 x 1080 Display Integrated Graphics Windows 10 S 81WD010QUS Platinum Grey ,Lenovo IdeaPad 3 14 Laptop Intel Core i31005G1 Processor 4GB DDR4 RAM 128GB M2 SSD Storage 140 FHD 1920 x 1080 Display Integrated Graphics Windows 10 S 81WD010QUS Platinum Grey ,$381.47,4.2 out of 5 stars,35,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A083517121P6ORXXFKNFH&url=%2FLenovo-i3-1005G1-Processor-Integrated-81WD010QUS%2Fdp%2FB0913FWL3J%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1635951895%26sr%3D8-12-spons%26psc%3D1&qualifier=1635951895&id=7745219053137011&widgetName=sp_mtf
2021,Newest Dell Inspiron 15 3000 Series 3501 Laptop 156 Full HD Display 11th Gen Intel Core i51135G7 QuadCore Processor 16GB RAM 1 TB SSD HDMI WiFi Webcam Windows 10 Home Black ,2021 Newest Dell Inspiron 15 3000 Series 3501 Laptop 156 Full HD Display 11th Gen Intel Core i51135G7 QuadCore Processor 16GB RAM 1 TB SSD HDMI WiFi Webcam Windows 10 Home Black ,$779.99,4.2 out of 5 stars,13,https://www.amazon.com/Dell-3000-i5-1135G7-Quad-Core-Processor/dp/B09HJRRJX5/ref=sr_1_13?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-13&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
Dell,Latitude 5510 156 Notebook  Full HD  1920 x 1080  Core i5 i510210U 10th Gen 16GHz Quadcore 4 Core  8GB RAM  256GB SSD ,Dell Latitude 5510 156 Notebook  Full HD  1920 x 1080  Core i5 i510210U 10th Gen 16GHz Quadcore 4 Core  8GB RAM  256GB SSD ,"$1,099.42",5.0 out of 5 stars,1,https://www.amazon.com/Dell-Latitude-5510-15-6-Notebook/dp/B08B9T6Y8V/ref=sr_1_14?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-14&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
2021,Newest Acer Aspire 5 Slim Laptop 156 FHD IPS Display AMD QuadCore Ryzen 3 3350U Processor 8GB DDR4 RAM 256 GB PCIe NVMe SSD Intel WiFi 6 Backlit KB Fingerprint Reader Win10 Home ,2021 Newest Acer Aspire 5 Slim Laptop 156 FHD IPS Display AMD QuadCore Ryzen 3 3350U Processor 8GB DDR4 RAM 256 GB PCIe NVMe SSD Intel WiFi 6 Backlit KB Fingerprint Reader Win10 Home ,$519.99,4.4 out of 5 stars,42,https://www.amazon.com/Acer-Aspire-Computer-Graphics-Keyboard/dp/B08WX9M8GP/ref=sr_1_15?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-15&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
HP,Envy 17t High Performance Laptop 173 Full HD Touchscreen Intel Core i71165G7 Processor Intel Iris Xe Graphics 32GB RAM 1TB SSD Backlit Keyboard WiFi 6 Windows 11 Home ,HP Envy 17t High Performance Laptop 173 Full HD Touchscreen Intel Core i71165G7 Processor Intel Iris Xe Graphics 32GB RAM 1TB SSD Backlit Keyboard WiFi 6 Windows 11 Home ,"$1,379.99",4.6 out of 5 stars,46,https://www.amazon.com/HP-Performance-Touchscreen-i7-1165G7-Processor/dp/B091VBL2C9/ref=sr_1_16?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-16&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
Acer,Swift 3 Thin  Light Laptop  14 Full HD IPS 100 sRGB Display  AMD Ryzen 7 5700U OctaCore Processor  8GB LPDDR4X  512GB NVMe SSD  WiFi 6  Backlit KB  FPR  Amazon Alexa  SF31443R2YY ,Acer Swift 3 Thin  Light Laptop  14 Full HD IPS 100 sRGB Display  AMD Ryzen 7 5700U OctaCore Processor  8GB LPDDR4X  512GB NVMe SSD  WiFi 6  Backlit KB  FPR  Amazon Alexa  SF31443R2YY ,$715.00,4.6 out of 5 stars,65,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A039059630ZS0EF51PHHN&url=%2FAcer-Display-Octa-Core-Processor-SF314-43-R2YY%2Fdp%2FB08YD1JLJF%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1635951895%26sr%3D8-17-spons%26psc%3D1&qualifier=1635951895&id=7745219053137011&widgetName=sp_mtf
ASUS,VivoBook 17 K712EA Thin and Light Laptop 173 FHD Display Intel Core i71165G7 16GB DDR4 RAM 1TB PCIe SSD Windows 10 Home Fingerprint Transparent Silver K712EADS76 ,ASUS VivoBook 17 K712EA Thin and Light Laptop 173 FHD Display Intel Core i71165G7 16GB DDR4 RAM 1TB PCIe SSD Windows 10 Home Fingerprint Transparent Silver K712EADS76 ,"$1,029.00",4.5 out of 5 stars,27,https://www.amazon.com/ASUS-i7-1165G7-Fingerprint-Transparent-K712EA-DS76/dp/B094K27CSY/ref=sr_1_18?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-18&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
2021,Newest Dell Inspiron 156 HD Laptop Intel 4205U Processor 12GB DDR4 RAM 1TB HDD Online Class Ready Webcam WiFi HDMI Bluetooth Win10 Home ,2021 Newest Dell Inspiron 156 HD Laptop Intel 4205U Processor 12GB DDR4 RAM 1TB HDD Online Class Ready Webcam WiFi HDMI Bluetooth Win10 Home ,$539.00,4.3 out of 5 stars,328,https://www.amazon.com/Newest-Dell-Inspiron-Processor-Bluetooth/dp/B08RSQ8V8J/ref=sr_1_19?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-19&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
Lenovo,IdeaPad 3 156 HD 1366x768 Touchscreen Laptop Intel Core i510210U 16GHz 8GB RAM 512GB SSD Windows 10 Home Abyss Blue ,Lenovo IdeaPad 3 156 HD 1366x768 Touchscreen Laptop Intel Core i510210U 16GHz 8GB RAM 512GB SSD Windows 10 Home Abyss Blue ,$655.00,4.5 out of 5 stars,28,https://www.amazon.com/Lenovo-IdeaPad-1366x768-Touchscreen-i5-10210U/dp/B091KHLNWY/ref=sr_1_20?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-20&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
2021,HP Newest Premium Laptop Computer 173 Full HD 1080P IPS Screen 11th Gen Intel Core i51135G7Beat i71065G7 16GB RAM 1TB SSD HDMI WiFi Webcam Zoom Windows 10  VAATE HDMI Cable ,2021 HP Newest Premium Laptop Computer 173 Full HD 1080P IPS Screen 11th Gen Intel Core i51135G7Beat i71065G7 16GB RAM 1TB SSD HDMI WiFi Webcam Zoom Windows 10  VAATE HDMI Cable ,$899.99,4.4 out of 5 stars,35,https://www.amazon.com/HP-Laptop-Computer-i5-1135G7-i7-1065G7/dp/B099LHZF8T/ref=sr_1_21?dchild=1&keywords=laptops&qid=1635951895&qsid=131-5339868-5439711&sr=8-21&sres=B09GP88NBY%2CB08VKNVDDR%2CB09CF4VV9J%2CB091V3XHD3%2CB094L3BYRP%2CB089S9N86P%2CB096CZCN7Z%2CB093Z22QJ4%2CB09HJRRJX5%2CB08B9T6Y8V%2CB08WX9M8GP%2CB091VBL2C9%2CB094K27CSY%2CB08RSQ8V8J%2CB091KHLNWY%2CB099LHZF8T&srpt=NOTEBOOK_COMPUTER
